buying,maint,doors,persons,lug_boot,safety,target
vhigh,very expensive,2-door,2-person,small,low safety,unacc
vhigh,very expensive,2-door,2-person,small,medium safety,unacc
vhigh,very expensive,2-door,2-person,small,high safety,unacc
vhigh,very expensive,2-door,2-person,med,low safety,unacc
vhigh,very expensive,2-door,2-person,med,medium safety,unacc
vhigh,very expensive,2-door,2-person,med,high safety,unacc
vhigh,very expensive,2-door,2-person,big,low safety,unacc
vhigh,very expensive,2-door,2-person,big,medium safety,unacc
vhigh,very expensive,2-door,2-person,big,high safety,unacc
vhigh,very expensive,2-door,4-person,small,low safety,unacc
vhigh,very expensive,2-door,4-person,small,medium safety,unacc
vhigh,very expensive,2-door,4-person,small,high safety,unacc
vhigh,very expensive,2-door,4-person,med,low safety,unacc
vhigh,very expensive,2-door,4-person,med,medium safety,unacc
vhigh,very expensive,2-door,4-person,med,high safety,unacc
vhigh,very expensive,2-door,4-person,big,low safety,unacc
vhigh,very expensive,2-door,4-person,big,medium safety,unacc
vhigh,very expensive,2-door,4-person,big,high safety,unacc
vhigh,very expensive,2-door,more than 4,small,low safety,unacc
vhigh,very expensive,2-door,more than 4,small,medium safety,unacc
vhigh,very expensive,2-door,more than 4,small,high safety,unacc
vhigh,very expensive,2-door,more than 4,med,low safety,unacc
vhigh,very expensive,2-door,more than 4,med,medium safety,unacc
vhigh,very expensive,2-door,more than 4,med,high safety,unacc
vhigh,very expensive,2-door,more than 4,big,low safety,unacc
vhigh,very expensive,2-door,more than 4,big,medium safety,unacc
vhigh,very expensive,2-door,more than 4,big,high safety,unacc
vhigh,very expensive,3-door,2-person,small,low safety,unacc
vhigh,very expensive,3-door,2-person,small,medium safety,unacc
vhigh,very expensive,3-door,2-person,small,high safety,unacc
vhigh,very expensive,3-door,2-person,med,low safety,unacc
vhigh,very expensive,3-door,2-person,med,medium safety,unacc
vhigh,very expensive,3-door,2-person,med,high safety,unacc
vhigh,very expensive,3-door,2-person,big,low safety,unacc
vhigh,very expensive,3-door,2-person,big,medium safety,unacc
vhigh,very expensive,3-door,2-person,big,high safety,unacc
vhigh,very expensive,3-door,4-person,small,low safety,unacc
vhigh,very expensive,3-door,4-person,small,medium safety,unacc
vhigh,very expensive,3-door,4-person,small,high safety,unacc
vhigh,very expensive,3-door,4-person,med,low safety,unacc
vhigh,very expensive,3-door,4-person,med,medium safety,unacc
vhigh,very expensive,3-door,4-person,med,high safety,unacc
vhigh,very expensive,3-door,4-person,big,low safety,unacc
vhigh,very expensive,3-door,4-person,big,medium safety,unacc
vhigh,very expensive,3-door,4-person,big,high safety,unacc
vhigh,very expensive,3-door,more than 4,small,low safety,unacc
vhigh,very expensive,3-door,more than 4,small,medium safety,unacc
vhigh,very expensive,3-door,more than 4,small,high safety,unacc
vhigh,very expensive,3-door,more than 4,med,low safety,unacc
vhigh,very expensive,3-door,more than 4,med,medium safety,unacc
vhigh,very expensive,3-door,more than 4,med,high safety,unacc
vhigh,very expensive,3-door,more than 4,big,low safety,unacc
vhigh,very expensive,3-door,more than 4,big,medium safety,unacc
vhigh,very expensive,3-door,more than 4,big,high safety,unacc
vhigh,very expensive,4-door,2-person,small,low safety,unacc
vhigh,very expensive,4-door,2-person,small,medium safety,unacc
vhigh,very expensive,4-door,2-person,small,high safety,unacc
vhigh,very expensive,4-door,2-person,med,low safety,unacc
vhigh,very expensive,4-door,2-person,med,medium safety,unacc
vhigh,very expensive,4-door,2-person,med,high safety,unacc
vhigh,very expensive,4-door,2-person,big,low safety,unacc
vhigh,very expensive,4-door,2-person,big,medium safety,unacc
vhigh,very expensive,4-door,2-person,big,high safety,unacc
vhigh,very expensive,4-door,4-person,small,low safety,unacc
vhigh,very expensive,4-door,4-person,small,medium safety,unacc
vhigh,very expensive,4-door,4-person,small,high safety,unacc
vhigh,very expensive,4-door,4-person,med,low safety,unacc
vhigh,very expensive,4-door,4-person,med,medium safety,unacc
vhigh,very expensive,4-door,4-person,med,high safety,unacc
vhigh,very expensive,4-door,4-person,big,low safety,unacc
